,time_stamp,states
0,2022-05-27,8
1,2022-05-28,8
2,2022-05-29,8
3,2022-05-30,8
4,2022-05-31,8
5,2022-06-01,8
6,2022-06-02,10
7,2022-06-03,10
8,2022-06-04,13
9,2022-06-05,13
10,2022-06-06,13
11,2022-06-07,13
12,2022-06-08,15
13,2022-06-09,15
14,2022-06-10,15
15,2022-06-13,22
16,2022-06-14,22
17,2022-06-15,22
18,2022-06-16,22
19,2022-06-17,22
20,2022-06-21,22
21,2022-06-22,25
22,2022-06-23,25
23,2022-06-27,29
24,2022-06-28,29
25,2022-06-29,29
26,2022-06-30,29
27,2022-07-01,29
28,2022-07-05,36
29,2022-07-06,36
30,2022-07-07,37
31,2022-07-08,37
32,2022-07-11,37
33,2022-07-12,37
34,2022-07-13,45
35,2022-07-14,45
36,2022-07-15,45
37,2022-07-18,46
38,2022-07-19,46
39,2022-07-20,47
40,2022-07-22,47
41,2022-07-25,48
42,2022-07-26,49
43,2022-07-27,49
44,2022-07-29,49
