question_id,horizon,cut_point,resolve_time
10975,8,2022-06-05 16:00:00,2022-07-31 16:00:00
10975,7,2022-06-12 16:00:00,2022-07-31 16:00:00
10975,6,2022-06-19 16:00:00,2022-07-31 16:00:00
10975,5,2022-06-26 16:00:00,2022-07-31 16:00:00
10975,4,2022-07-03 16:00:00,2022-07-31 16:00:00
10975,3,2022-07-10 16:00:00,2022-07-31 16:00:00
10975,2,2022-07-17 16:00:00,2022-07-31 16:00:00
10975,1,2022-07-24 16:00:00,2022-07-31 16:00:00
10978,6,2022-05-20 17:28:00,2022-07-01 17:28:00
10978,5,2022-05-27 17:28:00,2022-07-01 17:28:00
10978,4,2022-06-03 17:28:00,2022-07-01 17:28:00
10978,3,2022-06-10 17:28:00,2022-07-01 17:28:00
10978,2,2022-06-17 17:28:00,2022-07-01 17:28:00
10978,1,2022-06-24 17:28:00,2022-07-01 17:28:00
10979,6,2022-05-20 16:00:00,2022-07-01 16:00:00
10979,5,2022-05-27 16:00:00,2022-07-01 16:00:00
10979,4,2022-06-03 16:00:00,2022-07-01 16:00:00
10979,3,2022-06-10 16:00:00,2022-07-01 16:00:00
10979,2,2022-06-17 16:00:00,2022-07-01 16:00:00
10979,1,2022-06-24 16:00:00,2022-07-01 16:00:00
10981,6,2022-05-20 16:00:00,2022-07-01 16:00:00
10981,5,2022-05-27 16:00:00,2022-07-01 16:00:00
10981,4,2022-06-03 16:00:00,2022-07-01 16:00:00
10981,3,2022-06-10 16:00:00,2022-07-01 16:00:00
10981,2,2022-06-17 16:00:00,2022-07-01 16:00:00
10981,1,2022-06-24 16:00:00,2022-07-01 16:00:00
11039,5,2022-05-27 16:00:00,2022-07-01 16:00:00
11039,4,2022-06-03 16:00:00,2022-07-01 16:00:00
11039,3,2022-06-10 16:00:00,2022-07-01 16:00:00
11039,2,2022-06-17 16:00:00,2022-07-01 16:00:00
11039,1,2022-06-24 16:00:00,2022-07-01 16:00:00
10977,1,2022-07-16 14:11:00,2022-07-23 14:11:00
10977,2,2022-07-09 14:11:00,2022-07-23 14:11:00
10977,3,2022-07-02 14:11:00,2022-07-23 14:11:00
